date,product_id,product_name,product_category,unit_price,quantity,revenue
2024-10-18,SP001,スマートフォン Pro,スマートフォン,89800,50,4490000
2024-10-18,SP002,スマートフォン Lite,スマートフォン,49800,30,1494000
2024-10-18,LP001,ノートPC 15インチ,ノートPC,129800,32,4153600
2024-10-18,LP002,ノートPC 13インチ,ノートPC,98000,21,2058000
2024-10-18,TB001,タブレット 10インチ,タブレット,59800,16,956800
2024-10-18,EP001,ワイヤレスイヤホン,イヤホン,19800,12,237600
2024-10-18,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,14,487200
2024-10-19,SP001,スマートフォン Pro,スマートフォン,89800,43,3861400
2024-10-19,SP002,スマートフォン Lite,スマートフォン,49800,25,1245000
2024-10-19,LP001,ノートPC 15インチ,ノートPC,129800,51,6619800
2024-10-19,LP002,ノートPC 13インチ,ノートPC,98000,19,1862000
2024-10-19,TB001,タブレット 10インチ,タブレット,59800,28,1674400
2024-10-19,EP001,ワイヤレスイヤホン,イヤホン,19800,22,435600
2024-10-19,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,23,800400
2024-10-20,SP001,スマートフォン Pro,スマートフォン,89800,32,2873600
2024-10-20,SP002,スマートフォン Lite,スマートフォン,49800,28,1394400
2024-10-20,LP001,ノートPC 15インチ,ノートPC,129800,32,4153600
2024-10-20,LP002,ノートPC 13インチ,ノートPC,98000,25,2450000
2024-10-20,TB001,タブレット 10インチ,タブレット,59800,16,956800
2024-10-20,EP001,ワイヤレスイヤホン,イヤホン,19800,15,297000
2024-10-20,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,17,591600
2024-10-21,SP001,スマートフォン Pro,スマートフォン,89800,36,3232800
2024-10-21,SP002,スマートフォン Lite,スマートフォン,49800,17,846600
2024-10-21,LP001,ノートPC 15インチ,ノートPC,129800,29,3764200
2024-10-21,LP002,ノートPC 13インチ,ノートPC,98000,20,1960000
2024-10-21,TB001,タブレット 10インチ,タブレット,59800,13,777400
2024-10-21,EP001,ワイヤレスイヤホン,イヤホン,19800,15,297000
2024-10-21,EP002,ノイズキャンセリングイヤホン,イヤホン,34800,9,313200
2024-10-22,SP001,スマートフォン Pro,スマートフォン,89800,59,5298200
2024-10-22,SP002,スマートフォン Lite,スマートフォン,49800,39,1942200
2024-10-22,LP001,ノートPC 15インチ,ノートPC,129800,42,5451600
2024-10-22,LP002,ノートPC 13インチ,ノートPC,98000,25,2450000
2024-10-22,TB001,タブレット 10インチ,タブレット,59800,17,1016600
2024-10-22,EP001,ワイヤレスイヤホン,イヤホン,19800,18,356400
